label,message
ham,Hi there how are you?
spam,You won $1000! Claim now by texting WIN to 9009.
ham,Let's meet at 6pm near the cafe.
spam,Congratulations! You've been selected for a free trip.
ham,Are you coming to the party tonight?
spam,URGENT! Call this number to claim your free reward.
ham,Don't forget to bring the documents for the meeting.
spam,Get paid to work from home! Sign up today.
ham,Can you send me the report by end of day?
spam,Limited time offer! Buy one get one free on all items.
ham,What time is our appointment tomorrow?
spam,You have won a lottery of $5000! Contact us immediately.
ham,Please review the attached file and let me know your thoughts.
spam,Exclusive deal just for you! Click the link to find out more.
ham,Happy birthday! Wishing you a wonderful day.
spam,Final notice! Your account will be suspended unless you respond.
ham,Let's catch up over lunch this weekend.
spam,Win a brand new car! Enter the contest now.
ham,Thank you for your help with the project.
spam,Get a free gift card by completing this survey.
ham,Are we still on for the meeting next week?
spam,You have a new voicemail! Call now to listen.
ham,I'll be there in 10 minutes.
spam,Special promotion! Save 50% on your next purchase.
ham,Can you believe how fast this year is going by?
spam,You've been pre-approved for a credit card! Apply today.
ham,Let's go for a hike this weekend.
spam,Claim your free vacation now! Limited spots available. 
ham,Did you finish reading that book I lent you?
spam,Your package is ready for pickup! Visit the nearest location.
ham,What are your plans for the holidays?
spam,Get rich quick! Learn the secrets to financial freedom.
ham,I'll call you back in a few minutes.
spam,Don't miss out on this once-in-a-lifetime opportunity!
ham,See you at the conference next month.
spam,You have won a $200 gift card! Click here to claim.
ham,Can you help me with my homework?
spam,Free entry into a raffle to win $10,000! Sign up now.
ham,Let's schedule a meeting for next Tuesday.
spam,Your account has been compromised! Reset your password immediately.
ham,Thanks for the invitation, I'll be there.
spam,Get paid $500 a day working from home! Sign up now.
ham,What time does the movie start tonight?
spam,Congratulations! You've won a free shopping spree.
ham,I'll see you at the gym later.
spam,Limited offer! Buy one get one free on all electronics.
ham,Can you send me the meeting agenda?
spam,You have won a free cruise! Call now to claim your prize.
ham,Don't forget our dinner plans tomorrow.
